model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream
ALS,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.021048373713039362,0.05089995664983473,0.025436811445373898,-0.024672267565165384
LogReg,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.031045269753515577,0.028375135071603275,0.07433814520629956,-0.024672267565165384
RandomForest,1.1765875891748212,1.2506750591833533,1.2454363714465808,0.01320044303148785,0.015492107533065364,0.06418869203968759,-0.06884878227175961
SVD,0.8363626615296484,0.9051499112678777,0.9503389661829025,0.01572313285847472,0.02153368773379438,0.09139907021919752,-0.11397630465325403
TF-IDF,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.15073456151856365,0.14031982273118465,0.2556993457561411,-0.024672267565165384
k-NN,1.3946822581119092,1.4217052301920943,1.3642986736467375,0.0,0.0008267049991264822,0.0001322061871478505,0.030383584465171642
