iteration,model,aggregate_diversity,arp
1,SVD,174,165.13785790031812
1,TF-IDF,235,68.33679745493107
2,SVD,141,264.264262990456
2,TF-IDF,286,89.03181336161188
3,SVD,157,335.54167550371153
3,TF-IDF,333,101.93955461293743
4,SVD,143,358.3787910922587
4,TF-IDF,366,109.39745493107105
5,SVD,162,405.70201484623544
5,TF-IDF,394,115.62502651113468
