model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream
ALS,1.147076175067366,1.0799910344514472,1.0748132405395197,0.13960386542092135,0.09023420362634543,0.05080903511986377,0.07226293452784627
LogReg,1.147076175067366,1.0799910344514472,1.0748132405395197,0.039623595611184066,0.019283868587309284,0.0119637190225949,0.07226293452784627
RandomForest,1.0190751240234286,0.9696275284878365,0.9670950481717102,0.06043955515995402,0.03951027621176,0.02507112740533239,0.05198007585171838
SVD,0.8740215983849388,0.867674773300656,0.8772367417870217,0.12744857402491788,0.08749959230521895,0.05723165985609138,-0.003215143402082954
TF-IDF,1.147076175067366,1.0799910344514472,1.0748132405395197,0.06972828900396626,0.05493014476352156,0.032715067863934896,0.07226293452784627
k-NN,0.9974705635360297,0.9481664178472547,0.9492681887720585,0.07916282451071546,0.043437473289953406,0.02310172788652539,0.048202374763971156
