model,gini,arp,catalog_coverage,spearman_pop_vs_recfreq,avg_popularity_percentile,long_tail_share_20pct,aggregate_diversity_unique_items,metadata_token_entropy_bits,rmse
ALS,0.9957927673114979,1178.309562479284,0.01871165644171779,0.20147221534949264,0.043181152914669625,0.9993039443155453,61,2.726110505233221,
LogReg,0.6102044142167544,288.6679151474975,0.9303680981595092,0.17105771050359952,0.4518310097586072,0.25344713291349025,3033,3.7758515197180995,
RandomForest,0.9828504120289457,673.0227212462711,0.06257668711656442,0.1899268910875238,0.2582363742473631,0.5327146171693735,204,3.531282522986068,
SVD,0.9567712308667643,832.1001657275439,0.25644171779141106,0.5180259796260517,0.19230982764335433,0.6882333443818363,836,3.463011454886377,0.8725868054030854
TF-IDF,0.9370010634525109,327.32510772290357,0.3619631901840491,0.25758161103071825,0.40583148457310414,0.2868578057673185,1180,2.856889978115948,
k-NN,0.9884685961021236,635.7241630759032,0.07085889570552147,0.2853667223878954,0.22439520630537382,0.6155618163738813,231,3.528193114787752,0.9768795566855266
