model,gini,arp,catalog_coverage,spearman_pop_vs_recfreq,avg_popularity_percentile,long_tail_share_20pct,aggregate_diversity_unique_items,metadata_token_entropy_bits,rmse
ALS,0.9927927626685119,130.62691233947515,0.0165892501658925,0.18573420267872137,0.06011990572933976,0.9999441652707984,25,8.192560191424644,
LogReg,0.682925132128572,47.15097710776103,0.9522229595222296,0.17171225305683407,0.46032173697507667,0.29095477386934676,1435,9.164472304762002,
RandomForest,0.8109697643329176,86.23366834170854,0.8188453881884539,0.12980023489647988,0.36509191982177347,0.381965382467895,1234,9.377825629542546,
SVD,0.9711908357608428,138.92987158012284,0.17783676177836763,0.24487461446973965,0.24074758886224978,0.5388609715242881,268,9.379235076678539,0.9060393450343167
TF-IDF,0.9013015382135592,132.32171970965942,0.44658261446582614,0.22122298972743792,0.21004452699240508,0.6470686767169179,673,9.123234989426408,
k-NN,0.8741369606276163,12.518257956448911,0.48374253483742535,-0.37298693086610124,0.7216173398141633,0.010161920714684533,729,9.167941186808923,1.3923546824487862
