iteration,model,aggregate_diversity,arp
1,SVD,649,893.3516225165563
1,TF-IDF,805,348.38490066225165
2,SVD,541,918.0688410596026
2,TF-IDF,983,494.4250331125828
3,SVD,523,1321.1559602649006
3,TF-IDF,1084,556.3902317880795
4,SVD,528,1832.4956622516556
4,TF-IDF,1183,576.7261920529801
5,SVD,529,1997.4799006622516
5,TF-IDF,1278,584.1967218543047
