model,gini,arp,catalog_coverage,spearman_pop_vs_recfreq,avg_popularity_percentile,long_tail_share_20pct,aggregate_diversity_unique_items,metadata_token_entropy_bits,rmse
ALS,0.99504889272556,43.891439909297056,0.011138014527845037,0.12043686775682169,0.09786783559267129,0.8956916099773242,23,3.37705431932132,
LogReg,0.49968369262761914,18.964909297052156,0.9312348668280872,0.2598450144052091,0.44495010514294503,0.2885487528344671,1923,7.8522938885639695,
RandomForest,0.9677679496816399,16.543367346938776,0.24842615012106536,-0.02174369063306614,0.48874348690242847,0.20396825396825397,513,5.630227924660143,
SVD,0.983348267359753,31.807709750566893,0.09007263922518159,0.18260449753041505,0.23711620079831763,0.5695578231292517,186,6.065662591696119,1.4963172367193538
TF-IDF,0.6907247999279261,20.800340136054423,0.7457627118644068,0.20956235186124386,0.3875977170529229,0.3388888888888889,1540,6.925800596788039,
k-NN,0.9359874376419631,10.870464852607709,0.2721549636803874,-0.2347205722167812,0.6703200271230365,0.04580498866213152,562,7.170936303171816,1.7770795353278315
