iteration,model,aggregate_diversity,arp
1,SVD,3196,12.09683590875644
1,TF-IDF,16693,3.193990679421143
2,SVD,2858,150.57515329899437
2,TF-IDF,16703,3.7917341182241846
3,SVD,3495,228.8094186902134
3,TF-IDF,16517,4.50149619818494
4,SVD,4229,324.94081432425804
4,TF-IDF,16448,5.2659553593328425
5,SVD,4825,413.6792739759627
5,TF-IDF,16376,6.075545744419917
