model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream
ALS,1.0235024945337101,1.0654800766464325,0.9466509396414282,0.00023136404604747252,0.0009582452641309297,0.001699802256887167,0.0768515548922819
LogReg,1.0235024945337101,1.0654800766464325,0.9466509396414282,0.0037712413070860513,0.0064203563219980084,0.004332781337462113,0.0768515548922819
RandomForest,1.022882809357519,1.0609666935710953,0.9409476978880957,0.0,0.0,0.0003779363389550684,0.08193511146942334
SVD,0.9662943419915452,1.0218412407998365,0.9059244565953867,0.00010600103642020091,0.00011010607010387022,0.0015028486559684748,0.06036988539615851
TF-IDF,1.0235024945337101,1.0654800766464325,0.9466509396414282,0.01169425540036054,0.011790219227640668,0.0174882199604422,0.0768515548922819
k-NN,1.0249087950594562,1.0763015796846098,0.9572438045096455,0.0012667044191756246,0.0010671268720240275,0.00041995163519177776,0.06766499054981068
