model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream
ALS,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.1708728682547373,0.10040997569618529,0.07265988922951892,0.06326007641933984
LogReg,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.06530953239407823,0.030531315821564587,0.01505851203384628,0.06326007641933984
RandomForest,1.0441947494192678,1.0221206790012047,1.0200722765237957,0.10438027141350768,0.06440875922013116,0.03631775823059764,0.02412247289547209
SVD,0.9346036754098853,0.9252874633408728,0.9294481741665263,0.14652972030147676,0.08051604226865705,0.043506359423945096,0.005155501243359062
TF-IDF,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.06595101566434594,0.03464657809603885,0.02336227397710763,0.06326007641933984
k-NN,1.023488057368389,0.9802473520390514,0.9754960262297513,0.15142739013963122,0.08281919767958433,0.04155623491872666,0.047992031138637814
