model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream
ALS,1.7426560601649,1.6718827792420365,1.7294594483681278,0.012434271930431185,0.01234512746538811,0.011588677721344318,0.013196611796772117
LogReg,1.7426560601649,1.6718827792420365,1.7294594483681278,0.05921609748076134,0.0502039872945019,0.04078727277679653,0.013196611796772117
RandomForest,1.5813719777289106,1.5817319992755565,1.634659946227306,0.009464475460994127,0.007556242456043231,0.008541063892937127,-0.053287968498395344
SVD,1.4845328213920952,1.4927374648778595,1.5165437010943836,0.0023518975660630306,0.008506357773074368,0.01014758541579201,-0.03201087970228844
TF-IDF,1.7426560601649,1.6718827792420365,1.7294594483681278,0.11197658777175977,0.08208358012571756,0.07366722618981804,0.013196611796772117
k-NN,1.8546459084210851,1.7226188194534093,1.7419497136618287,0.0008051251866794194,0.0016343364489128632,0.002868987800710667,0.11269619475925641
