model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream,n_users_niche_rmse,n_users_mainstream_rmse,p_mwu_rmse_niche_vs_mainstream,p_welch_rmse_niche_vs_mainstream,p_mwu_rmse_niche_greater_mainstream,sig_rmse_mwu_005,n_users_niche_ndcg,n_users_mainstream_ndcg,p_mwu_ndcg_niche_vs_mainstream,p_welch_ndcg_niche_vs_mainstream,p_mwu_ndcg_niche_less_mainstream,sig_ndcg_mwu_005,dataset
ALS,1.147076175067366,1.0799910344514472,1.0748132405395197,0.1396038654209213,0.0902342036263454,0.0508090351198637,0.0722629345278462,1992,1989,5.41270887164128e-11,2.5383993621847495e-12,2.70635443582064e-11,True,1992,1989,2.5201436346801374e-44,1.7734980611339534e-60,1.0,True,ml-1m
LogReg,1.147076175067366,1.0799910344514472,1.0748132405395197,0.039623595611184,0.0192838685873092,0.0119637190225949,0.0722629345278462,1992,1989,5.41270887164128e-11,2.5383993621847495e-12,2.70635443582064e-11,True,1992,1989,2.3079870625684594e-48,8.89089728237603e-37,1.0,True,ml-1m
RandomForest,1.0190751240234286,0.9696275284878364,0.9670950481717102,0.060439555159954,0.03951027621176,0.0250711274053323,0.0519800758517183,1992,1989,2.398821179923007e-20,1.1053700463998019e-16,1.1994105899615035e-20,True,1992,1989,9.585231892021736e-40,1.3508938125426874e-40,1.0,True,ml-1m
SVD,0.8740215983849388,0.867674773300656,0.8772367417870217,0.1274485740249178,0.0874995923052189,0.0572316598560913,-0.0032151434020829,1992,1989,1.774974238779165e-05,0.0022429734455556,8.874871193895826e-06,True,1992,1989,4.263709997572447e-34,2.0351236786912188e-47,1.0,True,ml-1m
TF-IDF,1.147076175067366,1.0799910344514472,1.0748132405395197,0.0697282890039662,0.0549301447635215,0.0327150678639348,0.0722629345278462,1992,1989,5.41270887164128e-11,2.5383993621847495e-12,2.70635443582064e-11,True,1992,1989,1.3454513783481078e-35,2.4635796124450696e-30,1.0,True,ml-1m
k-NN,0.9974705635360296,0.9481664178472547,0.9492681887720584,0.0791628245107154,0.0434374732899534,0.0231017278865253,0.0482023747639711,1992,1989,9.938523915372309e-16,2.2728906254299752e-11,4.969261957686155e-16,True,1992,1989,6.718467014276736e-53,9.16113832438302e-58,1.0,True,ml-1m
ALS,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.0210483737130393,0.0508999566498347,0.0254368114453738,-0.0246722675651653,589,593,0.0311313769644262,0.0431272991637455,0.98444097478201,True,589,593,0.9756685910587272,0.3013313984878061,0.512283210536519,False,lastfm-2k
LogReg,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.0310452697535155,0.0283751350716032,0.0743381452062995,-0.0246722675651653,589,593,0.0311313769644262,0.0431272991637455,0.98444097478201,True,589,593,7.334002079650144e-15,5.4745697326864687e-11,3.667001039825072e-15,True,lastfm-2k
RandomForest,1.1765875891748212,1.2506750591833533,1.2454363714465808,0.0132004430314878,0.0154921075330653,0.0641886920396875,-0.0688487822717596,589,593,1.3811929206718269e-05,0.0003771889220421,0.9999930993968268,True,589,593,1.5022967415574804e-24,7.206824996760399e-20,7.511483707787402e-25,True,lastfm-2k
SVD,0.8363626615296484,0.9051499112678776,0.9503389661829024,0.0157231328584747,0.0215336877337943,0.0913990702191975,-0.113976304653254,589,593,2.068020986003836e-08,2.253916559946812e-08,0.999999989670066,True,589,593,6.123713170313392e-40,3.824187719256799e-36,3.061856585156696e-40,True,lastfm-2k
TF-IDF,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.1507345615185636,0.1403198227311846,0.2556993457561411,-0.0246722675651653,589,593,0.0311313769644262,0.0431272991637455,0.98444097478201,True,589,593,2.2434923843018747e-26,1.0922242292773606e-19,1.1217461921509372e-26,True,lastfm-2k
k-NN,1.3946822581119092,1.4217052301920945,1.3642986736467375,0.0,0.0008267049991264,0.0001322061871478,0.0303835844651716,589,593,0.769562622654803,0.7461786683771695,0.6152838181124528,False,589,593,0.3197705273109151,0.3177190695388929,0.1598852636554575,False,lastfm-2k
ALS,1.7426560601649,1.6718827792420363,1.7294594483681278,0.0124342719304311,0.0123451274653881,0.0115886777213443,0.0131966117967721,588,580,0.5111485728161284,0.8060374137905566,0.2555742864080642,False,588,580,0.4807921800806868,0.8239961594260107,0.7597450078078113,False,book-crossing
LogReg,1.7426560601649,1.6718827792420363,1.7294594483681278,0.0592160974807613,0.0502039872945019,0.0407872727767965,0.0131966117967721,588,580,0.5111485728161284,0.8060374137905566,0.2555742864080642,False,588,580,0.0017425424892572,0.0152138335483918,0.999129488565366,True,book-crossing
RandomForest,1.5813719777289106,1.5817319992755563,1.634659946227306,0.0094644754609941,0.0075562424560432,0.0085410638929371,-0.0532879684983953,588,580,0.5799020331679285,0.4104043793792862,0.7101083630494602,False,588,580,0.8498406325162358,0.7859545961274182,0.4249203162581179,False,book-crossing
SVD,1.4845328213920952,1.4927374648778595,1.5165437010943836,0.002351897566063,0.0085063577730743,0.010147585415792,-0.0320108797022884,588,580,0.24900442218656,0.2300046116800635,0.8755333999374258,False,588,580,0.0023342488911138,0.0003284057627168,0.0011671244455569,True,book-crossing
TF-IDF,1.7426560601649,1.6718827792420363,1.7294594483681278,0.1119765877717597,0.0820835801257175,0.073667226189818,0.0131966117967721,588,580,0.5111485728161284,0.8060374137905566,0.2555742864080642,False,588,580,1.0487862214677576e-05,0.0001987929612722,0.9999947611858464,True,book-crossing
k-NN,1.854645908421085,1.7226188194534091,1.7419497136618287,0.0008051251866794,0.0016343364489128,0.0028689878007106,0.1126961947592564,588,580,0.0348345369235334,0.0552840385304946,0.0174172684617667,True,588,580,0.0995397490431812,0.0533259479391247,0.0497698745215906,False,book-crossing
