model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream,n_users_niche_rmse,n_users_mainstream_rmse,p_mwu_rmse_niche_vs_mainstream,p_welch_rmse_niche_vs_mainstream,p_mwu_rmse_niche_greater_mainstream,sig_rmse_mwu_005,n_users_niche_ndcg,n_users_mainstream_ndcg,p_mwu_ndcg_niche_vs_mainstream,p_welch_ndcg_niche_vs_mainstream,p_mwu_ndcg_niche_less_mainstream,sig_ndcg_mwu_005
ALS,1.147076175067366,1.0799910344514472,1.0748132405395197,0.13960386542092135,0.09023420362634543,0.05080903511986377,0.07226293452784627,1992,1989,5.4127088716412796e-11,2.5383993621847495e-12,2.7063544358206398e-11,True,1992,1989,2.5201436346801374e-44,1.7734980611339534e-60,1.0,True
LogReg,1.147076175067366,1.0799910344514472,1.0748132405395197,0.039623595611184066,0.019283868587309284,0.0119637190225949,0.07226293452784627,1992,1989,5.4127088716412796e-11,2.5383993621847495e-12,2.7063544358206398e-11,True,1992,1989,2.3079870625684594e-48,8.89089728237603e-37,1.0,True
RandomForest,1.0190751240234286,0.9696275284878365,0.9670950481717102,0.06043955515995402,0.03951027621176,0.02507112740533239,0.05198007585171838,1992,1989,2.398821179923007e-20,1.1053700463998019e-16,1.1994105899615035e-20,True,1992,1989,9.585231892021736e-40,1.3508938125426876e-40,1.0,True
SVD,0.8740215983849388,0.867674773300656,0.8772367417870217,0.12744857402491788,0.08749959230521895,0.05723165985609138,-0.003215143402082954,1992,1989,1.774974238779165e-05,0.002242973445555664,8.874871193895826e-06,True,1992,1989,4.263709997572447e-34,2.035123678691219e-47,1.0,True
TF-IDF,1.147076175067366,1.0799910344514472,1.0748132405395197,0.06972828900396626,0.05493014476352156,0.032715067863934896,0.07226293452784627,1992,1989,5.4127088716412796e-11,2.5383993621847495e-12,2.7063544358206398e-11,True,1992,1989,1.3454513783481078e-35,2.4635796124450696e-30,1.0,True
k-NN,0.9974705635360297,0.9481664178472547,0.9492681887720585,0.07916282451071546,0.043437473289953406,0.02310172788652539,0.048202374763971156,1992,1989,9.93852391537231e-16,2.2728906254299752e-11,4.969261957686155e-16,True,1992,1989,6.718467014276736e-53,9.161138324383021e-58,1.0,True
