iteration,model,aggregate_diversity,arp
1,SVD,134,32.790879478827364
1,TF-IDF,1264,21.288599348534202
2,SVD,306,26.262975027144407
2,TF-IDF,1330,24.781216069489684
3,SVD,533,24.344625407166124
3,TF-IDF,1348,27.513680781758957
4,SVD,609,24.500217155266014
4,TF-IDF,1382,30.10944625407166
5,SVD,715,23.6271444082519
5,TF-IDF,1404,32.143865363735074
