iteration,model,aggregate_diversity,arp
1,SVD,170,176.659877573734
1,TF-IDF,492,150.2371730662215
2,SVD,103,245.0584307178631
2,TF-IDF,516,174.06010016694492
3,SVD,129,560.0725653867557
3,TF-IDF,532,188.9525876460768
4,SVD,148,661.7563717306622
4,TF-IDF,531,197.58408458542016
5,SVD,166,699.7407902058987
5,TF-IDF,538,202.7473567056205
