model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream,n_users_niche_rmse,n_users_mainstream_rmse,p_mwu_rmse_niche_vs_mainstream,p_welch_rmse_niche_vs_mainstream,p_mwu_rmse_niche_greater_mainstream,sig_rmse_mwu_005,n_users_niche_ndcg,n_users_mainstream_ndcg,p_mwu_ndcg_niche_vs_mainstream,p_welch_ndcg_niche_vs_mainstream,p_mwu_ndcg_niche_less_mainstream,sig_ndcg_mwu_005
ALS,1.7426560601649,1.6718827792420365,1.7294594483681278,0.012434271930431185,0.01234512746538811,0.011588677721344318,0.013196611796772117,588,580,0.5111485728161284,0.8060374137905566,0.2555742864080642,False,588,580,0.4807921800806868,0.8239961594260107,0.7597450078078113,False
LogReg,1.7426560601649,1.6718827792420365,1.7294594483681278,0.05921609748076134,0.0502039872945019,0.04078727277679653,0.013196611796772117,588,580,0.5111485728161284,0.8060374137905566,0.2555742864080642,False,588,580,0.001742542489257283,0.015213833548391892,0.9991294885653659,True
RandomForest,1.5813719777289106,1.5817319992755565,1.634659946227306,0.009464475460994127,0.007556242456043231,0.008541063892937127,-0.053287968498395344,588,580,0.5799020331679285,0.41040437937928625,0.7101083630494602,False,588,580,0.8498406325162358,0.7859545961274182,0.4249203162581179,False
SVD,1.4845328213920952,1.4927374648778595,1.5165437010943836,0.0023518975660630306,0.008506357773074368,0.01014758541579201,-0.03201087970228844,588,580,0.24900442218656005,0.23000461168006353,0.8755333999374258,False,588,580,0.002334248891113818,0.000328405762716836,0.001167124445556909,True
TF-IDF,1.7426560601649,1.6718827792420365,1.7294594483681278,0.11197658777175977,0.08208358012571756,0.07366722618981804,0.013196611796772117,588,580,0.5111485728161284,0.8060374137905566,0.2555742864080642,False,588,580,1.0487862214677576e-05,0.00019879296127225162,0.9999947611858463,True
k-NN,1.8546459084210851,1.7226188194534093,1.7419497136618287,0.0008051251866794194,0.0016343364489128632,0.002868987800710667,0.11269619475925641,588,580,0.0348345369235334,0.055284038530494635,0.0174172684617667,True,588,580,0.09953974904318129,0.05332594793912476,0.049769874521590644,False
