model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream,n_users_niche_rmse,n_users_mainstream_rmse,p_mwu_rmse_niche_vs_mainstream,p_welch_rmse_niche_vs_mainstream,p_mwu_rmse_niche_greater_mainstream,sig_rmse_mwu_005,n_users_niche_ndcg,n_users_mainstream_ndcg,p_mwu_ndcg_niche_vs_mainstream,p_welch_ndcg_niche_vs_mainstream,p_mwu_ndcg_niche_less_mainstream,sig_ndcg_mwu_005
ALS,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.021048373713039362,0.05089995664983473,0.025436811445373898,-0.024672267565165384,589,593,0.03113137696442622,0.04312729916374552,0.9844409747820099,True,589,593,0.9756685910587273,0.30133139848780616,0.512283210536519,False
LogReg,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.031045269753515577,0.028375135071603275,0.07433814520629956,-0.024672267565165384,589,593,0.03113137696442622,0.04312729916374552,0.9844409747820099,True,589,593,7.334002079650144e-15,5.474569732686469e-11,3.667001039825072e-15,True
RandomForest,1.1765875891748212,1.2506750591833533,1.2454363714465808,0.01320044303148785,0.015492107533065364,0.06418869203968759,-0.06884878227175961,589,593,1.3811929206718269e-05,0.0003771889220421133,0.9999930993968267,True,589,593,1.5022967415574804e-24,7.206824996760398e-20,7.511483707787402e-25,True
SVD,0.8363626615296484,0.9051499112678777,0.9503389661829025,0.01572313285847472,0.02153368773379438,0.09139907021919752,-0.11397630465325403,589,593,2.068020986003836e-08,2.253916559946812e-08,0.999999989670066,True,589,593,6.123713170313392e-40,3.824187719256799e-36,3.061856585156696e-40,True
TF-IDF,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.15073456151856365,0.14031982273118465,0.2556993457561411,-0.024672267565165384,589,593,0.03113137696442622,0.04312729916374552,0.9844409747820099,True,589,593,2.2434923843018747e-26,1.0922242292773603e-19,1.1217461921509373e-26,True
k-NN,1.3946822581119092,1.4217052301920943,1.3642986736467375,0.0,0.0008267049991264822,0.0001322061871478505,0.030383584465171642,589,593,0.769562622654803,0.7461786683771695,0.6152838181124528,False,589,593,0.31977052731091515,0.31771906953889295,0.15988526365545758,False
