model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream,n_users_niche_rmse,n_users_mainstream_rmse,p_mwu_rmse_niche_vs_mainstream,p_welch_rmse_niche_vs_mainstream,p_mwu_rmse_niche_greater_mainstream,sig_rmse_mwu_005,n_users_niche_ndcg,n_users_mainstream_ndcg,p_mwu_ndcg_niche_vs_mainstream,p_welch_ndcg_niche_vs_mainstream,p_mwu_ndcg_niche_less_mainstream,sig_ndcg_mwu_005
ALS,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.1708728682547373,0.10040997569618529,0.07265988922951892,0.06326007641933984,311,310,0.0036021006184068158,0.0039717754148374754,0.0018010503092034079,True,311,310,2.6063933466309187e-14,1.226984541114084e-15,0.999999999999987,True
LogReg,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.06530953239407823,0.030531315821564587,0.01505851203384628,0.06326007641933984,311,310,0.0036021006184068158,0.0039717754148374754,0.0018010503092034079,True,311,310,6.914552711905666e-16,3.580062352911507e-14,0.9999999999999997,True
RandomForest,1.0441947494192678,1.0221206790012047,1.0200722765237957,0.10438027141350768,0.06440875922013116,0.03631775823059764,0.02412247289547209,311,310,0.004289877889953818,0.03823469004606494,0.002144938944976909,True,311,310,2.4044178841155683e-15,2.1541706320982915e-14,0.9999999999999988,True
SVD,0.9346036754098853,0.9252874633408728,0.9294481741665263,0.14652972030147676,0.08051604226865705,0.043506359423945096,0.005155501243359062,311,310,0.12698778614398834,0.4362953469782065,0.06349389307199417,False,311,310,2.6360066634196876e-17,8.851597968579856e-19,1.0,True
SVD+Rerank,0.9346036754098853,0.9252874633408728,0.9294481741665263,0.12637791310430446,0.0677410246905021,0.036036271899795365,0.005155501243359062,311,310,0.12698778614398834,0.4362953469782065,0.06349389307199417,False,311,310,6.634435907935844e-17,4.072554770829479e-18,1.0,True
TF-IDF,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.06595101566434594,0.03464657809603885,0.02336227397710763,0.06326007641933984,311,310,0.0036021006184068158,0.0039717754148374754,0.0018010503092034079,True,311,310,6.70492216025994e-13,8.078490398737415e-09,0.9999999999996662,True
k-NN,1.023488057368389,0.9802473520390514,0.9754960262297513,0.15142739013963122,0.08281919767958433,0.04155623491872666,0.047992031138637814,311,310,0.0012535149956683994,0.014921589805251817,0.0006267574978341997,True,311,310,2.139438835627363e-17,3.310671933302488e-18,1.0,True
